0.6875	0.3396	0.2397	0.5725	0.2903	1	1	3	0	0	0	2	7	1
0.4792	0.1321	0.2443	0.5802	0.0161	1	1	4	1	0	0	1	7	1
0.5	0.3396	0.274	0.7786	0	1	1	3	1	2	0	1	3	1
0.7292	0.3396	0.4041	0.3893	0.3226	0.6667	0	4	0	0	0	2	3	1
0.8333	0.434	0.258	0.6107	0.2903	0.6667	0	1	0	0	0	1	3	1
0.2708	0.5094	0.2694	0.8168	0.129	0.6667	1	1	0	2	0	1	3	1
0.875	0.6226	0.4018	0.6947	0.0645	0.6667	0	2	0	0	0	1	3	1
0.7917	0.1132	0.2215	0.542	0.0484	0.6667	0	4	0	0	0	1	3	1
0.7083	0.434	0.1575	0.8244	0	0.6667	0	2	0	0	0	1	3	1
0.3958	0.283	0.2945	0.7939	0	0.6667	1	3	1	0	0	1	3	1
0.2917	0.3396	0.4315	0.6947	0.3065	0.3333	1	3	0	0	0	1	3	1
0.4583	0.434	0.4155	0.542	0.2419	0.3333	0	3	0	2	0	1	3	1
0.4583	0.2925	0.1986	0.4122	0.2258	0.3333	1	1	0	2	1	1	3	1
0.8125	0.2264	0.3447	0.6107	0.1613	0.3333	1	3	0	0	0	1	7	1
0.4792	0.3774	0.1712	0.6641	0.129	0.3333	1	2	0	0	0	1	3	1
0.75	0.434	0.6644	0.6565	0.129	0.3333	0	3	1	2	0	1	3	1
0.5208	0.2925	0.3356	0.6183	0.0806	0.3333	1	3	0	2	0	3	3	1
0.3125	0.2264	0.2648	0.5954	0.0484	0.3333	0	3	0	0	0	2	3	1
0.5833	0.5283	0	0.7786	0.0323	0.3333	1	3	1	0	0	1	7	1
0.9375	0.2453	0.3265	0.3817	0.0323	0.3333	0	2	0	2	1	1	3	1
0.7292	0.3208	0.3128	0.2595	0.0323	0.3333	1	4	0	0	1	2	7	1
0.8333	0.6226	0.2466	0.458	0.0161	0.3333	1	1	1	2	0	2	3	1
0.7917	0.5472	0.3447	0.771	0	0.3333	0	3	0	0	0	1	3	1
0.25	0.1038	0.1644	0.7405	0	0.3333	0	2	0	0	0	1	3	1
0.5208	0.6226	0.1712	0.7023	0	0.3333	0	3	0	0	0	1	3	1
0.6458	0.0755	0.4384	0.6794	0	0.3333	0	3	0	0	0	1	3	1
0.5833	0.3208	0.4041	0.6718	0	0.3333	0	4	0	2	0	1	3	1
0.5208	0.3585	0.3699	0.6718	0	0.3333	0	2	1	2	1	1	3	1
0.4583	0	0.2306	0.6336	0	0.3333	1	3	0	0	1	1	7	1
0.875	0.1509	0.3174	0.4504	0	0.3333	0	3	1	2	0	1	3	1
0.625	0.7925	0.3288	0.5649	0.6774	0	1	1	0	2	0	3	7	1
0.1667	0.3396	0.2831	0.8855	0.5645	0	1	3	0	0	0	3	3	1
0.3333	0.0943	0.1872	0.5878	0.4839	0	1	4	0	2	1	2	3	1
0.7708	0.5283	0.2283	0.3282	0.4194	0	0	1	0	0	0	3	3	1
0.4583	0.2925	0.2717	0.7252	0.3871	0	1	3	1	2	0	2	3	1
0.7083	0.4811	0.2443	0.6031	0.371	0	1	1	1	2	0	3	6	1
0.7708	0.6226	0.2329	0.5115	0.371	0	1	4	0	2	0	1	6	1
0.25	0.3396	0.2009	0.7405	0.3226	0	1	3	0	2	0	2	3	1
0.5625	0.2453	0.153	0.6947	0.3065	0	1	1	0	2	0	2	7	1
0.7292	0.1509	0.1941	0.5573	0.2903	0	1	1	0	2	1	2	3	1
0.5833	0.5283	0.0959	0.7863	0.2581	0	1	3	0	0	0	1	3	1
0.5208	0.5283	0.242	0.7176	0.2581	0	1	3	0	2	0	1	7	1
0.7917	0.1981	1	0.6794	0.2581	0	0	3	0	2	0	2	7	1
